game_id,season,week,season_type,team,opponent,is_home,n_plays,epa_sum,epa_per_play
2011_06_MIA_NYJ,2011,6,REG,NYJ,MIA,1,58,-1.1397,-0.01965
2011_06_MIN_CHI,2011,6,REG,CHI,MIN,1,61,6.5833,0.107923
2011_06_MIN_CHI,2011,6,REG,MIN,CHI,0,66,-8.6253,-0.130686
2011_06_NO_TB,2011,6,REG,NO,TB,0,68,0.3372,0.004958
2011_06_NO_TB,2011,6,REG,TB,NO,1,68,5.3782,0.079091
2011_06_PHI_WAS,2011,6,REG,PHI,WAS,0,72,6.9855,0.097021
2011_06_PHI_WAS,2011,6,REG,WAS,PHI,1,58,-8.1163,-0.139937
2011_06_SF_DET,2011,6,REG,DET,SF,1,78,-15.2988,-0.196138
2011_06_SF_DET,2011,6,REG,SF,DET,0,64,-12.6432,-0.197549
2011_06_STL_GB,2011,6,REG,GB,LA,1,59,10.7087,0.181503
2011_06_STL_GB,2011,6,REG,LA,GB,0,75,-9.6431,-0.128574
2011_07_ATL_DET,2011,7,REG,ATL,DET,0,74,-2.1035,-0.028425
2011_07_ATL_DET,2011,7,REG,DET,ATL,1,58,-11.4258,-0.196996
2011_07_BAL_JAX,2011,7,REG,BAL,JAX,0,57,-18.0047,-0.315872
2011_07_BAL_JAX,2011,7,REG,JAX,BAL,1,65,-16.8713,-0.259558
2011_07_CHI_TB,2011,7,REG,CHI,TB,0,68,0.4479,0.006586
2011_07_CHI_TB,2011,7,REG,TB,CHI,1,68,-15.0335,-0.22108
2011_07_DEN_MIA,2011,7,REG,DEN,MIA,0,77,-6.5802,-0.085457
2011_07_DEN_MIA,2011,7,REG,MIA,DEN,1,68,-15.1973,-0.22349
2011_07_GB_MIN,2011,7,REG,GB,MIN,0,61,15.9245,0.261057
2011_07_GB_MIN,2011,7,REG,MIN,GB,1,66,3.9758,0.060239
2011_07_HOU_TEN,2011,7,REG,HOU,TEN,0,71,23.6687,0.333361
2011_07_HOU_TEN,2011,7,REG,TEN,HOU,1,50,-17.7571,-0.355142
2011_07_IND_NO,2011,7,REG,IND,NO,0,48,-21.1474,-0.44057
2011_07_IND_NO,2011,7,REG,NO,IND,1,76,34.9179,0.459447
2011_07_KC_OAK,2011,7,REG,KC,LV,0,68,5.5452,0.081547
2011_07_KC_OAK,2011,7,REG,LV,KC,1,68,-33.2648,-0.489188
2011_07_PIT_ARI,2011,7,REG,ARI,PIT,1,60,5.2271,0.087118
2011_07_PIT_ARI,2011,7,REG,PIT,ARI,0,71,20.2423,0.285103
2011_07_SD_NYJ,2011,7,REG,LAC,NYJ,0,58,-3.4949,-0.060257
2011_07_SD_NYJ,2011,7,REG,NYJ,LAC,1,74,-0.1175,-0.001588
2011_07_SEA_CLE,2011,7,REG,CLE,SEA,1,84,-10.1887,-0.121295
2011_07_SEA_CLE,2011,7,REG,SEA,CLE,0,52,-19.5119,-0.375229
2011_07_STL_DAL,2011,7,REG,DAL,LA,1,63,14.3982,0.228543
2011_07_STL_DAL,2011,7,REG,LA,DAL,0,56,-16.048,-0.286572
2011_07_WAS_CAR,2011,7,REG,CAR,WAS,1,65,14.9852,0.230541
2011_07_WAS_CAR,2011,7,REG,WAS,CAR,0,66,1.7946,0.02719
2011_08_ARI_BAL,2011,8,REG,ARI,BAL,0,62,-4.0578,-0.065448
2011_08_ARI_BAL,2011,8,REG,BAL,ARI,1,85,4.6417,0.054608
2011_08_CIN_SEA,2011,8,REG,CIN,SEA,0,64,-1.8722,-0.029253
2011_08_CIN_SEA,2011,8,REG,SEA,CIN,1,73,-16.3276,-0.223666
2011_08_CLE_SF,2011,8,REG,CLE,SF,0,62,-6.2125,-0.100202
2011_08_CLE_SF,2011,8,REG,SF,CLE,1,65,4.4849,0.068998
2011_08_DAL_PHI,2011,8,REG,DAL,PHI,0,51,-6.3252,-0.124024
2011_08_DAL_PHI,2011,8,REG,PHI,DAL,1,72,27.327,0.379542
2011_08_DET_DEN,2011,8,REG,DEN,DET,1,77,-29.5591,-0.383884
2011_08_DET_DEN,2011,8,REG,DET,DEN,0,62,12.3265,0.198814
2011_08_IND_TEN,2011,8,REG,IND,TEN,0,80,-8.1463,-0.101829
2011_08_IND_TEN,2011,8,REG,TEN,IND,1,66,-4.1033,-0.062171
2011_08_JAX_HOU,2011,8,REG,HOU,JAX,1,72,-8.9549,-0.124374
2011_08_JAX_HOU,2011,8,REG,JAX,HOU,0,61,-16.711,-0.273951
2011_08_MIA_NYG,2011,8,REG,MIA,NYG,0,55,3.6959,0.067199
2011_08_MIA_NYG,2011,8,REG,NYG,MIA,1,69,6.4576,0.093588
2011_08_MIN_CAR,2011,8,REG,CAR,MIN,1,67,4.3326,0.064666
2011_08_MIN_CAR,2011,8,REG,MIN,CAR,0,64,6.2141,0.097096
2011_08_NE_PIT,2011,8,REG,NE,PIT,0,53,4.1092,0.077533
